                                    Province Pop.Inf Pop.sen Unipers Divorzi Vedovi Laurea Notitolo T.attiv T.disoc. Mov.nat Mov.mig Natalit. Fecondi1 Dopo.82 xbagni Impianto  TV.. Parco Lusso.Imm Add.H Add.J Imp.cont Cont.res Add.Ul x0add.Add   V68 Artigiane Imprendi 
                       "Modigliana"     "FO"    8.79    9.97    26.9    1.92   9.99   2.10    19.87    47.8      8.5   45.03  142.14     5.93     2.88   11.46  19.19    80.54 30.75 49.15      9.03  0.99  0.37    16954    62.99   41.2     64.48 46.31     47.17     4.94
                         "Mondaino"     "RN"    7.05   10.39    21.1    1.09   9.08   2.40    16.20    40.6      9.1   94.44  163.64     8.24     4.64    5.34  19.92    76.18 27.91 49.93      8.97  1.82  0.29    14402    58.94   31.6     29.89  0.00     51.24     5.73
                    "Monte Colombo"     "RN"    9.77    8.36    23.4    1.81   8.13   3.25    18.18    43.5     18.2  103.85  138.46    10.53     4.62   14.21  21.58    75.68 24.15 50.70     15.33  1.40  0.12    12744    48.71   23.2     37.78  0.00     44.44     7.77
                 "Montefiore Conca"     "RN"   10.81    9.28    21.5    1.97   8.90   3.11    23.66    39.4     11.6   70.91  142.69     8.26     4.04    9.32  18.28    76.05 26.57 52.32     10.00  1.02  0.06    13993    53.85   17.4     25.27  0.00     54.44     5.90
                    "Montegridolfo"     "RN"    9.73    8.24    18.6    0.69   8.12   2.25    22.32    44.7      9.0   76.67  163.27     8.77     4.21   13.68  24.43    84.04 27.46 55.72     16.13  1.37  0.00    13532    58.24   33.1     21.11  0.00     71.95     8.00
                       "Montescudo"     "RN"    8.96    8.77    22.6    0.92   8.47   3.16    22.35    41.3     11.7   72.13  290.65     9.00     4.66    8.39  16.95    78.60 25.52 52.52      7.74  0.98  0.31    13546    50.43   18.3     19.13  0.00     44.62     6.92
                         "Montiano"     "FO"    7.96    7.77    13.8    0.58   7.06   2.66    18.71    50.9      8.4  106.06  120.00     7.55     3.60    7.22  28.66    85.77 26.41 53.98      7.97  1.62  0.13    14316    51.00   14.0     17.51  0.00     50.63     4.85
              "Morciano di Romagna"     "RN"    9.96    6.35    20.6    1.95   7.63   4.00    14.35    44.0     11.4  105.15  142.93     8.95     3.99   12.52  32.10    92.35 26.90 54.84     11.06  1.13  2.01    15519    55.53   40.2     46.59 21.59     36.01     8.83
                     "Poggio Berni"     "RN"   11.79    5.71    11.8    1.83   6.23   1.57    17.86    45.4     11.2  115.69  167.42     7.80     3.27    7.24  30.09    87.89 23.89 54.88      8.25  1.11  0.16    15276    50.95   32.5     50.12  6.11     60.10     7.61
          "Portico e San Benedetto"     "FO"    7.04   15.22    37.4    1.14  13.87   3.71    20.84    39.1      7.1   28.57  113.33     4.83     2.92    1.24  15.35    64.11 30.95 45.13      4.00  2.28  0.41    14737    57.56   17.4     14.88  0.00     57.35     4.47
                        "Predappio"     "FO"    7.84    9.47    19.6    1.74   8.76   2.21    17.60    44.1      7.7   48.98  139.27     5.36     2.69    8.20  20.20    87.07 29.77 53.49      9.42  1.21  0.39    15921    55.80   30.9     48.32 11.81     54.75     4.38
                      "Premilcuore"     "FO"    6.20   13.56    31.7    0.42  13.67   2.15    24.24    40.9      7.2   27.27  103.03     4.21     2.74    7.81  17.38    62.47 33.65 53.42     13.33  6.94  0.42    15995    58.78   33.9     29.81  0.00     29.92     2.38
                         "Riccione"     "RN"    8.40    6.65    21.3    2.17   7.62   4.21    13.78    43.9     16.3  103.11  123.71     8.41     3.69   10.20  31.20    96.86 28.58 57.36     11.72  5.62  0.82    14811    58.05   34.4     35.58 13.85     25.69    11.42
                           "Rimini"     "RN"    7.93    7.07    20.2    1.91   7.75   6.40    11.96    43.9     12.9   86.48  135.90     8.41     3.80    8.15  29.22    95.72 28.54 56.82     14.38  3.31  1.27    17862    58.02   36.1     49.81 26.06     25.83     8.99
               "Rocca San Casciano"     "FO"    8.47   11.34    24.1    1.16   9.30   3.29    16.55    43.5      8.9   51.61  113.00     7.40     3.76   10.10  19.95    84.67 31.65 44.42      9.28  1.30  0.46    16272    60.11   37.8     54.66 20.34     50.00     5.20
                      "Roncofreddo"     "FO"    9.59    7.30    17.9    1.36   6.94   2.00    23.28    49.2      9.5  113.43  117.96    10.16     4.74   10.65  21.91    81.11 23.83 53.63      9.86  1.48  0.12    14302    49.94   20.9     52.21 22.46     56.49     2.44
                        "Saludecio"     "RN"    8.48    9.55    18.3    1.16   9.12   2.16    21.77    40.9     12.2   63.95  154.07     7.89     4.07    8.13  16.13    69.95 27.19 51.68      5.67  1.59  0.26    12653    55.77   19.8     35.43  0.00     53.09     4.92
                     "San Clemente"     "RN"    9.96    7.60    13.6    1.87   7.68   1.57    20.89    43.3     12.9  100.00  191.39     9.35     4.65    7.33  23.84    80.68 23.53 56.64      7.94  1.34  0.20    13070    52.58   36.1     47.36 11.14     54.76     6.75
        "San Giovanni in Marignano"     "RN"    9.20    6.73    14.8    1.22   7.24   2.73    16.25    43.9     12.3   73.40  137.97     6.38     3.00   11.67  27.43    90.01 25.68 55.22     10.97  0.97  0.19    14813    52.50   46.4     61.96 26.55     46.62     7.83
                "San Mauro Pascoli"     "FO"    9.63    6.20    13.4    1.55   6.71   1.85    17.15    49.6     11.3   99.03  161.22     8.51     3.70    8.67  37.03    95.06 24.73 53.22     12.59  2.14  0.53    14038    57.11   43.2     50.41 16.15     44.15     6.07
         "Santarcangelo di Romagna"     "RN"    8.84    7.01    15.2    1.50   7.85   2.85    16.67    45.6     10.4   90.12  146.07     8.97     4.02   13.24  29.80    93.08 27.20 55.43     10.88  1.10  0.46    15763    54.99   30.0     46.17 16.21     41.60     8.21
                      "Santa Sofia"     "FO"    8.24   11.57    25.0    0.85  11.64   3.25    20.19    40.0      7.0   46.39  131.33     6.05     3.32   11.06  19.44    81.43 30.93 50.84     13.70  2.10  0.52    16479    56.09   33.6     55.99 25.79     35.92     6.64
                          "Sarsina"     "FO"    9.80    8.42    19.8    1.02   8.88   2.51    21.27    45.0      9.5  100.00   97.24    10.41     5.11   10.17  19.89    73.04 24.03 51.28      9.43  1.33  0.56    14807    55.48   32.8     48.63 14.44     55.62     4.37
           "Savignano sul Rubicone"     "FO"    8.74    6.21    13.9    1.65   7.18   3.27    16.53    48.9     10.3  104.42  158.04     8.57     3.82   10.24  35.61    94.87 26.82 53.90     11.54  1.52  0.92    16224    58.09   36.9     46.55 16.25     44.04     4.40
             "Sogliano al Rubicone"     "FO"    8.64   10.04    23.2    1.32  10.49   2.16    23.15    43.8      9.5   58.77  137.36     7.78     4.04    4.77  14.51    70.98 25.44 51.80     13.33  1.36  0.14    13906    54.76   21.9     42.90  0.00     45.90     2.08
                         "Torriana"     "RN"    9.78    6.99    25.2    2.89   8.18   2.99    20.06    43.4      9.4   88.89  125.20     7.98     4.06    5.49  18.96    81.04 25.85 58.18     22.67  4.19  0.30    14368    51.00   48.0     62.16  0.00     37.11     6.64
                         "Tredozio"     "FO"    6.53   10.94    28.3    1.10  10.87   1.86    19.38    45.0      6.7   23.88  119.05     3.67     1.96    5.32  14.18    78.01 31.98 47.73     10.14  2.06  0.34    14797    57.29   26.3     42.04  0.00     54.95     5.88
                       "Verghereto"     "FO"    8.34   11.34    25.3    0.83  10.64   1.68    26.28    41.5      7.6   48.48   88.57     6.95     3.94    3.71  17.03    59.79 28.06 44.31      9.13  3.21  0.26    13237    60.95   24.7     24.43  0.00     54.83     3.35
                        "Verucchio"     "RN"   10.87    5.50    13.3    1.46   5.83   2.32    14.57    45.6     10.3  123.53  175.71     9.45     4.08   11.96  28.32    94.02 24.08 50.96     12.29  1.66  0.39    16121    51.80   37.5     63.20 29.78     46.62     5.19
                        "Bastiglia"     "MO"    9.53    6.41    14.9    2.02   7.78   2.26    13.94    51.2      5.7   88.89  194.14     8.20     3.89   14.68  31.74    87.45 29.70 58.35     10.00  1.41  0.44    18306    61.64   39.8     48.18  7.07     50.97     7.07
                         "Bomporto"     "MO"    9.31    6.69    14.0    1.57   7.38   1.98    14.57    50.3      5.4  101.99  149.10     8.85     4.17   10.29  29.37    85.08 29.39 57.16     17.56  1.24  0.50    17820    60.61   46.7     51.72 14.88     55.70     7.17
                    "Campogalliano"     "MO"    8.33    7.00    16.1    2.08   8.02   2.45    11.56    52.2      3.1   91.46  166.89     8.94     3.93   13.52  32.59    88.83 28.83 61.26     12.64  2.03  0.57    19667    63.09   62.0     68.61 26.54     40.00     5.50
                       "Camposanto"     "MO"    8.40    8.30    16.7    1.58   8.81   2.25    14.41    49.1      6.4   75.00  130.74     8.23     4.10    9.34  30.83    84.30 31.78 54.68      8.11  1.92  0.48    17750    62.19   44.2     61.34 26.32     52.05     3.71
                            "Carpi"     "MO"    7.04    7.59    19.0    2.26   8.65   3.76    11.87    51.7      4.8   73.95  103.38     7.12     3.20    7.74  27.84    93.79 32.71 63.13     19.35  1.12  1.35    20074    66.72   49.7     50.13 18.86     45.18     8.37
              "Castelfranco Emilia"     "MO"    6.97    8.51    17.0    2.17   8.73   2.95    13.86    50.6      5.6   68.10  165.22     6.97     3.34   11.06  25.68    89.13 30.96 58.82      9.08  1.28  0.64    18425    64.58   30.3     42.65 11.93     45.07     5.86
              "Castelnuovo Rangone"     "MO"    7.44    7.19    15.3    1.38   7.43   4.31    11.53    50.9      4.6   88.93  192.45     7.75     3.49   13.72  35.24    92.95 28.65 62.82     16.19  0.90  0.44    21149    64.08   33.5     45.82 14.57     44.19     8.69
            "Castelvetro di Modena"     "MO"    8.64    7.90    17.8    2.35   7.68   2.32    13.59    50.7      5.6  111.42  156.05    10.06     4.55   11.03  28.39    84.34 25.15 62.96     12.99  2.25  0.92    19333    60.59   67.2     72.27 53.29     42.27     5.52
                          "Cavezzo"     "MO"    7.26    9.67    17.8    1.92   9.24   2.45    15.07    50.7      4.0   65.46  145.37     6.67     3.16    7.22  27.51    82.70 31.38 54.76     14.20  1.21  0.41    17236    64.54   37.6     38.92 12.23     52.83     6.89
          "Concordia sulla Secchia"     "MO"    6.90    9.82    16.5    1.53  10.65   2.36    15.73    49.3      5.9   54.43  127.53     6.71     3.36    6.97  28.95    75.74 31.72 52.66     13.23  1.01  0.34    16071    65.29   39.7     42.95 17.67     50.93     5.43
                           "Fanano"     "MO"    6.28   14.39    33.7    2.56  13.44   2.16    17.50    40.3      6.1   40.26  129.61     7.05     4.07    6.74  14.29    67.78 29.95 49.15     16.47  3.68  0.55    14084    64.32   35.6     37.84  9.96     41.74     4.63
                    "Finale Emilia"     "MO"    7.45    7.92    19.4    2.39   9.77   3.06    14.55    46.3      8.7   57.17  121.86     6.80     3.24    6.69  25.79    85.20 31.99 53.68      8.89  1.27  0.53    16763    64.24   38.3     57.36 30.15     41.62     5.17
                 "Fiorano Modenese"     "MO"   10.76    3.98    12.8    2.21   5.23   1.77    14.39    52.3      6.6  153.87   94.27     9.31     3.79    8.89  17.75    92.39 27.37 64.91     15.13  1.21  0.43    20443    61.58   85.3     80.41 49.95     42.81     1.45
                         "Fiumalbo"     "MO"    7.46   12.55    30.5    0.90  10.75   2.43    10.69    40.3     10.4   46.88   64.81     6.44     3.41    4.51  13.36    66.28 26.83 50.97      3.95  4.18  0.39    12740    56.82   27.3     11.79  0.00     43.09     4.79
                        "Formigine"     "MO"   10.27    5.40    14.9    2.02   6.86   3.75    11.75    49.9      4.8  127.47  147.43    10.32     4.38   18.03  33.21    90.60 26.31 60.46     12.48  1.16  0.46    21345    59.92   32.2     52.27 19.66     41.88     6.49
                       "Frassinoro"     "MO"    6.62   15.67    35.8    1.01  13.69   1.37    16.74    36.5      8.5   35.88  105.26     6.33     4.33    3.89  13.57    52.37 30.37 49.31      6.31  2.54  0.32    13854    64.54   25.8     31.09  0.00     31.96     7.93
                          "Guiglia"     "MO"    7.20   11.70    27.8    1.99  10.28   2.38    15.96    45.8      4.9   54.62  229.77     7.32     4.15    5.65  20.96    74.08 32.18 57.64      7.96  2.87  0.30    15229    61.39   22.2     21.12  0.00     48.82     4.08
                     "Lama Mocogno"     "MO"    5.86   14.12    28.5    1.02  11.29   2.37    16.55    42.1      6.0   31.97  145.57     5.16     3.08    5.00  14.66    69.62 31.26 52.42     10.91  2.60  0.30    13863    60.25   23.2     17.45  0.00     39.94     5.80
                        "Maranello"     "MO"    9.77    5.21    13.9    2.49   6.48   2.28    13.94    52.4      6.2  110.70  122.83     9.47     3.91   10.71  24.99    92.20 28.58 62.19     11.02  1.50  0.51    20053    61.11   45.7     65.28 47.11     44.79     4.43
                "Marano sul Panaro"     "MO"    7.06    8.16    21.8    1.86   8.89   2.39    14.97    47.2      4.8   67.02  145.95     6.42     3.11   10.73  27.41    77.87 30.26 60.67     10.43  2.17  0.52    16595    60.91   34.1     39.78  6.09     55.63     3.86
                          "Medolla"     "MO"    8.12    7.86    15.3    1.46   8.79   2.50    14.26    50.5      3.7   78.47  107.26     6.87     3.19    6.58  31.30    86.11 32.59 54.06     11.34  1.19  0.33    18361    65.83   53.1     63.74 38.26     48.02     6.22
                        "Mirandola"     "MO"    6.98    9.01    19.7    2.65   9.41   3.63    12.75    48.5      4.9   63.19  120.99     7.10     3.49    8.85  25.23    85.33 33.47 55.77     14.62  0.98  1.20    18943    65.12   47.2     60.81 34.26     39.35     5.98
                           "Modena"     "MO"    7.07    8.04    24.1    3.42   8.89   8.75     8.82    47.8      6.2   71.27  104.27     7.61     3.56    7.80  21.74    91.59 32.67 66.17     22.14  1.82  2.36    22948    64.43   50.8     63.04 36.07     32.64     7.90
                       "Montecreto"     "MO"    6.62   13.34    26.3    1.82  11.52   1.81    21.13    41.6     10.6   28.89   73.68     4.16     2.59    6.67  10.80    68.97 31.77 50.10      6.52  3.45  0.29    12068    69.10   28.9     19.93  0.00     44.92     4.33
                     "Montefiorino"     "MO"    6.09   14.62    28.7    1.20  12.22   1.97    21.67    37.9      6.3   32.39  118.18     6.58     4.42    6.73  18.24    71.66 32.42 54.29      7.56  1.37  0.43    15383    64.62   31.3     43.90 10.29     42.52     3.86
                          "Montese"     "MO"    5.65   12.57    30.9    1.77  10.42   1.41    22.86    46.0      4.7   37.75  134.97     6.00     3.50    6.20  14.84    64.58 30.00 51.31      7.78  1.71  0.32    13452    64.38   27.0     22.66  7.59     51.85     5.04
                        "Nonantola"     "MO"    7.91    7.49    14.9    1.64   7.88   2.43    14.26    50.7      4.8   87.01  198.02     8.12     3.73   12.88  28.37    85.83 30.50 57.69     10.29  0.99  0.45    17982    63.10   29.6     44.39 13.37     54.02     5.02
                   "Novi di Modena"     "MO"    7.74    8.68    16.0    1.96   8.93   1.85    16.08    49.4      5.9   71.57  110.50     7.40     3.46    7.58  29.99    86.53 29.86 52.11      9.77  0.66  0.36    16282    64.68   34.0     38.91  2.10     61.79     3.96
                         "Palagano"     "MO"    6.89   14.07    32.4    1.30  11.72   2.08    20.87    38.8      2.3   42.73  182.64     6.58     4.25    5.84  19.82    68.11 30.37 52.54     11.72  1.13  0.29    14200    66.11   26.5     26.15  0.00     49.79     3.62
             "Pavullo nel Frignano"     "MO"    8.05    9.18    22.4    2.21   8.61   3.81    14.91    45.9      8.4   82.97  151.65     9.47     4.62    9.41  18.92    81.74 27.22 56.23     11.54  2.06  0.51    16924    59.22   33.9     44.47 19.97     36.97     6.74
                      "Pievepelago"     "MO"    7.25   13.34    25.7    1.07  11.11   2.18    10.13    43.2      7.8   37.17  162.20     6.51     3.54    6.02  14.10    64.94 31.88 54.79      8.82  4.14  0.37    14211    63.99   40.8     36.29  9.78     35.40     5.66
                         "Polinago"     "MO"    5.45   14.51    33.7    1.64  12.44   1.00    19.59    40.3      5.8   22.34  121.38     3.71     2.42    7.14  11.45    53.08 27.63 52.20      8.80  1.06  0.21    14192    62.31   21.8     32.77  0.00     42.57     2.83
           "Prignano sulla Secchia"     "MO"    9.10    8.72    23.2    0.90   8.23   1.58    21.86    46.7      3.6   77.19  169.05     9.43     5.15    9.29  14.25    62.49 25.12 58.96      6.44  1.06  0.10    15555    60.08   16.9     24.57  0.00     54.71     4.57
                         "Ravarino"     "MO"    8.83    9.02    16.7    1.87   8.99   2.32    15.91    49.9      4.9   69.51  195.99     8.67     4.25   11.55  32.12    85.85 31.00 54.85     11.38  0.94  0.37    17499    62.04   33.5     50.58 19.97     52.40     5.26
                        "Riolunato"     "MO"    6.21   15.53    27.8    0.48  11.71   1.66    16.09    40.3      7.4   51.28  111.36     7.96     4.60    3.43  13.71    52.96 31.30 55.08     10.42  5.38  0.36    14795    62.37   24.1      4.95  0.00     36.59     6.06
           "San Cesario sul Panaro"     "MO"    7.85    8.60    13.9    1.83   8.02   2.43    13.26    49.7      4.8   76.09  110.08     6.75     3.21   10.28  29.47    89.10 28.35 58.33     11.50  1.62  0.17    17931    63.36   41.0     58.32 13.86     45.71     4.83
            "San Felice sul Panaro"     "MO"    8.23    8.36    16.2    1.93   8.86   3.15    14.02    46.2      7.0   65.71  125.89     8.13     3.94    8.45  24.74    86.25 31.86 52.97      9.69  0.85  0.91    17226    64.08   35.3     59.82 31.28     51.35     5.04
                   "San Possidonio"     "MO"    8.09    7.91    19.5    2.07   8.98   1.98    15.19    49.7      5.7   81.13  119.77     8.59     4.15   11.11  28.94    76.40 30.58 53.31     10.46  0.57  0.36    15336    63.19   34.0     43.79  7.31     58.04     5.87
                     "San Prospero"     "MO"    9.49    6.65    12.4    1.45   7.28   2.57    14.32    50.6      4.8  107.22  135.48     8.64     3.90    6.60  27.82    81.35 28.53 56.92     10.82  1.15  0.47    17445    62.27   35.2     44.70  6.58     58.02     5.81
                         "Sassuolo"     "MO"    9.20    5.30    16.8    1.96   6.90   3.32    12.47    48.2      6.8  106.69  103.70     8.44     3.67    7.80  21.80    90.24 28.85 63.73     15.83  1.21  1.08    22105    63.40   46.1     56.81 28.20     34.62     6.13
             "Savignano sul Panaro"     "MO"    7.32    6.58    15.4    2.28   7.50   1.98    15.24    51.3      4.7   79.28  134.93     7.56     3.36    8.42  25.38    87.83 28.82 59.75     12.66  1.24  0.28    17876    63.63   35.5     46.84 19.68     52.77     4.98
                     "Serramazzoni"     "MO"    7.57    9.65    25.6    1.90   9.16   2.38    13.93    46.3      6.9   66.67  155.04     8.47     4.34    8.36  19.09    71.50 28.83 56.78     10.52  2.82  0.35    15862    60.61   28.5     27.94 10.09     42.58     8.38
                          "Sestola"     "MO"    6.46   11.43    26.5    1.78  10.70   2.12    16.87    43.6      6.7   51.72  155.73     7.26     3.92    9.03  14.76    76.48 30.19 54.61      8.18  6.17  0.51    13787    64.73   31.9     25.26  0.00     36.33     5.35
                          "Soliera"     "MO"    7.80    7.09    14.4    1.85   7.98   2.07    13.94    53.2      3.3   85.45  155.09     8.25     3.70   12.23  30.51    90.03 29.39 58.94     16.41  1.00  0.50    17764    64.87   50.1     55.37 22.11     55.90     1.85
                      "Spilamberto"     "MO"    7.18    8.34    17.0    2.65   8.70   2.27    13.36    49.4      5.8   66.46  114.76     6.69     3.13    9.12  26.54    83.80 30.24 61.13     12.61  1.08  0.47    18540    63.09   38.3     53.48 24.28     48.44     5.25
                          "Vignola"     "MO"    6.74    8.30    19.8    2.58   8.94   4.15    12.62    48.8      5.9   65.70  114.46     6.72     3.16    8.38  27.80    88.69 32.77 62.93     15.81  1.33  1.40    19098    64.42   40.2     51.39 20.85     38.68     6.68
                            "Zocca"     "MO"    6.79   11.65    34.8    2.44  10.16   2.48    19.96    44.9      5.8   59.20  168.13     8.15     4.57    4.62  19.90    68.93 31.50 55.04      9.98  2.80  0.45    14628    61.93   28.5     22.02  0.00     47.19     7.63
                         "Albareto"     "PR"    6.70   16.41    33.5    1.36  11.29   1.81    23.46    36.2      7.2   29.84  160.68     5.40     3.10    5.33  11.70    52.87 29.06 51.29      6.48  1.53  0.22    13579    57.68   14.9     16.47  0.00     51.92     3.39
                            "Bardi"     "PR"    6.42   18.66    34.9    1.03  14.32   1.59    22.66    35.3      7.8   23.50   78.65     4.62     3.14    5.18  11.62    44.23 29.24 46.04      9.62  1.92  0.44    11844    59.24   19.3     15.57  0.00     47.51     2.88
                          "Bedonia"     "PR"    6.23   13.84    33.7    1.64  12.31   1.47    15.45    38.2     10.7   29.13  108.88     5.03     2.90    6.78   9.90    47.64 26.67 48.12      9.98  2.39  0.43    13628    55.80   27.7     40.52  4.96     47.45     7.44
                          "Berceto"     "PR"    5.46   16.75    36.3    1.31  13.18   1.71    15.31    37.5      6.5   27.21  150.82     4.86     3.07    5.65  11.98    56.37 31.35 47.74      7.32  3.61  0.25    15304    60.23   29.7     31.41  0.00     39.72     7.49
                             "Bore"     "PR"    2.18   15.06    40.9    1.14  16.86   0.46    19.48    37.6      9.1   16.67  153.13     4.10     3.12    3.09  17.70    43.62 31.53 48.20      4.55  1.80  0.47    12904    68.37   15.2     14.38  0.00     28.21     4.77
                "Borgo Val di Taro"     "PR"    6.56   13.52    27.4    1.84  11.43   4.43    14.37    40.0      8.1   37.77  224.30     5.79     3.12   12.67  14.97    73.95 32.22 47.92      7.77  1.88  0.56    16630    60.17   32.2     47.90 17.57     38.27     6.25
                          "Busseto"     "PR"    6.85   11.63    21.8    1.92  10.02   3.20    11.77    44.3      5.8   43.16  116.71     5.84     2.96    8.96  24.87    72.76 32.47 53.64     16.00  1.32  0.63    17654    62.31   30.8     43.41 10.78     40.31     7.39
                        "Calestano"     "PR"    7.13   12.64    30.1    1.28  12.08   2.81    19.18    42.1      6.3   44.32  129.69     7.24     4.21    0.97  15.88    61.88 32.85 55.35     19.25  1.56  0.56    17076    62.53   27.8     29.80 12.00     45.35     7.24
                       "Collecchio"     "PR"    7.36    8.83    18.4    1.71   8.95   3.41    11.92    46.6      4.6   73.22  154.28     7.66     3.63   11.51  24.68    85.57 31.23 60.94     13.39  2.67  0.71    21883    62.34   62.4     67.98 39.38     38.65     6.37
                          "Colorno"     "PR"    8.20    9.64    22.2    1.87   9.33   3.06    12.99    44.6      5.4   56.86  181.94     7.56     3.75   11.37  24.60    84.21 29.48 52.86     11.49  1.08  0.71    19427    60.00   33.3     54.61 27.57     35.14     7.41
                         "Compiano"     "PR"    6.39   15.74    43.1    0.46  12.04   1.84    22.58    35.7     13.2   26.87  122.58     5.56     3.30    9.33  21.03    65.48 27.22 48.80      7.09  1.57  0.00    14435    51.67   25.5     28.00  0.00     43.30     9.55
                        "Corniglio"     "PR"    5.10   16.98    33.3    1.19  14.83   1.42    12.26    36.7      6.1   23.57  110.49     4.73     3.42    3.28  15.07    46.81 37.79 51.67      8.08  2.68  0.23    14152    67.27   23.7     18.45  0.00     35.24     6.18
                           "Felino"     "PR"    8.03    8.15    18.8    1.67   7.52   3.41    11.31    48.0      3.7   85.79  146.65     8.24     3.88   14.52  30.42    85.65 28.64 59.46     14.03  0.72  0.24    20567    61.72   32.1     44.34 13.67     45.45     7.91
                          "Fidenza"     "PR"    6.92    9.95    21.6    1.91  10.03   4.72    11.36    43.5      5.7   55.26  139.22     6.80     3.47   11.13  20.72    82.75 33.94 52.43     12.14  1.20  0.99    19172    63.32   39.1     57.70 31.22     34.00     6.18
                     "Fontanellato"     "PR"    7.42   10.97    19.0    1.42   9.59   2.60    15.27    45.8      5.8   47.44  126.00     6.06     3.09   12.95  25.13    67.76 29.86 58.19     14.27  1.34  0.39    18040    61.47   40.6     51.47 22.99     40.98     6.75
                        "Fontevivo"     "PR"    8.30    8.26    17.9    1.43   8.41   2.00    14.55    48.7      3.9   77.08   95.18     8.15     3.88   15.18  23.70    79.84 32.63 59.62     15.18  0.97  0.37    19395    62.99   51.7     53.45 23.57     42.12     4.05
                  "Fornovo di Taro"     "PR"    6.87   10.18    24.4    1.69   9.70   2.44    12.19    45.0      5.6   45.30  127.45     5.98     3.04   11.22  15.12    80.85 33.02 58.60     10.22  2.05  0.86    19897    61.21   41.1     46.13 11.17     39.17     5.36
                       "Langhirano"     "PR"    7.42    9.52    20.9    1.98   9.68   2.86    11.81    46.7      5.0   67.27  204.75     8.19     4.06   10.59  22.30    83.27 31.52 60.44     19.04  1.62  1.16    20303    63.66   54.2     46.00  5.34     34.22     9.15
              "Lesignano de' Bagni"     "PR"    8.79    7.42    19.8    1.91   7.18   3.46    13.11    46.5      5.1   80.56  166.89     9.73     4.69   12.03  26.68    80.13 26.52 58.27     13.17  1.07  0.20    18146    61.20   32.2     41.02  0.00     46.99     8.60
                         "Medesano"     "PR"    8.23    8.79    20.2    1.33   8.83   2.64    15.04    45.4      4.5   53.24  200.95     6.57     3.20   12.63  17.76    79.62 29.86 57.21     13.06  2.12  0.24    18570    60.41   32.2     45.91 17.14     46.76     7.36
                          "Mezzani"     "PR"    7.63   10.51    24.4    2.12  10.47   1.67    15.23    45.1      7.3   45.61  146.35     6.93     3.74    4.76  25.65    70.89 31.16 55.01      7.87  0.64  0.12    15570    64.88   23.2     40.79 11.70     53.93     2.27
              "Monchio delle Corti"     "PR"    5.24   14.43    43.4    1.29  15.38   1.70     6.84    33.5     10.0   22.34   79.86     4.77     3.33    4.83  13.18    52.71 28.59 43.57      9.33  3.47  0.34    15024    58.95   18.7     13.50  0.00     41.73     5.04
                  "Montechiarugolo"     "PR"    7.70    8.53    18.5    2.01   8.35   3.84    12.41    48.0      4.4   64.48  137.58     6.69     3.16   10.71  27.72    89.25 28.03 59.58     12.94  2.02  0.34    19706    61.89   28.2     36.90 11.69     47.12     7.28
            "Neviano degli Arduini"     "PR"    6.23   14.73    31.9    1.30  12.98   1.48    15.53    41.0      3.8   30.23  185.07     4.80     3.33    4.30  21.69    55.05 33.31 55.26     10.00  1.05  0.19    14445    62.60   23.3     17.44  0.00     45.07     5.71
                           "Noceto"     "PR"    8.34    9.63    19.4    1.62   9.55   3.73    13.27    46.0      5.2   58.56  119.06     7.21     3.54   13.05  21.89    78.09 29.41 54.64     13.75  1.47  0.41    19667    60.86   33.4     49.23 22.22     39.90     7.04
                        "Palanzano"     "PR"    5.15   16.41    39.0    0.84  14.29   1.47    18.03    37.3      6.2   49.25   89.92     7.08     4.87    7.40  17.88    47.07 31.40 55.34     17.39  1.54  0.26    17430    58.37   25.7     33.00  0.00     40.97     6.57
                            "Parma"     "PR"    6.49    8.98    25.2    3.03   9.69   9.40     8.55    46.2      5.6   56.84  105.42     6.42     3.11    8.84  19.00    87.86 32.34 62.22     20.14  1.48  2.42    24095    63.88   50.4     63.48 38.66     28.23     7.83
              "Pellegrino Parmense"     "PR"    6.95   13.96    31.7    1.36  11.31   1.85    14.72    41.5      4.6   23.68  114.66     4.09     2.67    5.87  14.43    45.97 32.08 56.34      6.67  2.79  0.41    12239    62.06   20.4     11.67  0.00     39.53     4.38
                "Polesine Parmense"     "PR"    8.21   13.68    22.7    1.60  12.14   2.12    16.15    40.5      8.1   51.52  108.80     7.56     4.34    1.95  30.14    56.38 32.22 53.97     12.82  1.53  0.40    17043    65.11   33.6     41.75  0.00     51.94     6.84
                      "Roccabianca"     "PR"    6.51   11.84    21.2    1.35  11.87   2.53    12.29    42.1      5.6   36.59  130.69     6.14     3.32    3.21  27.30    66.86 29.98 52.16     17.54  0.64  0.55    16651    60.72   25.8     29.93  0.00     50.00     7.15
                     "Sala Baganza"     "PR"    7.41    8.84    21.1    2.19   8.72   3.89    10.83    48.0      4.2   82.95  153.91     8.50     3.93   13.46  27.50    85.37 30.35 59.79     19.00  1.31  0.76    22284    58.19   57.2     57.62 18.44     45.72     7.47
              "Salsomaggiore Terme"     "PR"    6.57   10.29    25.7    2.72  11.09   4.28    11.13    45.1      5.4   49.70  193.52     6.34     3.35    9.82  19.51    84.02 34.88 56.26      9.94  9.80  0.45    18213    67.84   38.5     38.05 18.34     24.39     7.47
